working_area_id;department;working_area;temperature;atmo_pressure;humidity
1586;Москва Автоколонна МКТ 5;Водитель-экспедитор;19,2;758;36
1587;Москва Автоколонна МКТ 5;Водитель-экспедитор;19,9;758;35,5
1588;Москва Автоколонна МКТ 5;Водитель-экспедитор;19,9;759;36,1
1589;Москва Автоколонна МКТ 5;Водитель-экспедитор;19;758;36,4
1590;Москва Автоколонна МКТ 5;Водитель-экспедитор;20;759;36
1591;Москва Автоколонна МКТ 5;Водитель-экспедитор;19,3;758;35,7
1592;Москва Автоколонна МКТ 5;Водитель-экспедитор;19,3;759;35,9
1593;Москва Автоколонна МКТ 5;Водитель-экспедитор;19,8;759;35,9
1594;Москва Автоколонна МКТ 5;Водитель-экспедитор;19,8;759;35,8
1595;Москва Автоколонна МКТ 5;Водитель-экспедитор;19,7;759;36,3
1596;Москва Автоколонна МКТ 5;Водитель-экспедитор;20;759;35,6
1597;Москва Автоколонна МКТ 5;Водитель-экспедитор;20;758;35,8
1598;Москва Автоколонна МКТ 5;Водитель-экспедитор;19,5;759;36,4
1599;Москва Автоколонна МКТ 5;Водитель-экспедитор;19,7;759;35,9
1600;Москва Автоколонна МКТ 5;Водитель-экспедитор;20;759;35,8
1601;Москва Автоколонна МКТ 5;Водитель-экспедитор;19,5;759;36,2
1602;Москва Автоколонна МКТ 5;Водитель-экспедитор;19,9;758;35,5
1603;Москва Автоколонна МКТ 5;Водитель-экспедитор;19;758;36
1604;Москва Автоколонна МКТ 5;Водитель-экспедитор;19,4;758;36
1605;Москва Автоколонна МКТ 5;Водитель-экспедитор;19,7;759;36,4
1606;Москва Автоколонна МКТ 5;Водитель-экспедитор;19,7;758;36,1
1607;Москва Автоколонна МКТ 5;Водитель-экспедитор;19,6;759;35,7
1608;Москва Автоколонна МКТ 5;Водитель-экспедитор;19,9;759;36,1
1609;Москва Автоколонна МКТ 5;Водитель-экспедитор;19;759;36,4
1610;Москва Автоколонна МКТ 5;Водитель-экспедитор;19,9;759;35,7
1611;Москва Автоколонна МКТ 5;Водитель-экспедитор;19,5;759;36,4
1612;Москва Автоколонна МКТ 5;Водитель-экспедитор;19,1;758;36,4
1613;Москва Автоколонна МКТ 5;Водитель-экспедитор;19,8;758;36,2
1614;Москва Автоколонна МКТ 5;Водитель-экспедитор;19,9;758;35,9
1615;Москва Автоколонна МКТ 5;Водитель-экспедитор;19,4;758;35,6
1616;Группа технической поддержки транспорта;Менеджер по транспорту;19,2;759;35,7
1617;Группа технической поддержки транспорта;Водитель;19,6;758;35,5
1618;Москва Автоколонна 1;"Бригадир водителей категории ""Е""";19,9;758;36,4
1619;Москва Автоколонна 1;"Бригадир водителей-экспедиторов категории ""Е""";19,8;759;36,1
1620;Москва Автоколонна 1;"Водитель категории ""Е""";19,2;759;35,9
1621;Москва Автоколонна 1;"Водитель категории ""Е""";19,7;759;36,4
1622;Москва Автоколонна 1;"Водитель категории ""Е""";19,8;759;36
1623;Москва Автоколонна 1;"Водитель категории ""Е""";19,6;758;35,8
1624;Москва Автоколонна 1;"Водитель категории ""Е""";19,4;759;36,1
1625;Москва Автоколонна 1;"Водитель категории ""Е""";19,5;758;35,8
1626;Москва Автоколонна 1;"Водитель категории ""Е""";20;758;35,5
1627;Москва Автоколонна 1;"Водитель категории ""Е""";19;759;35,6
1628;Москва Автоколонна 1;"Водитель категории ""Е""";19,7;758;35,8
1629;Москва Автоколонна 1;"Водитель категории ""Е""";19,7;759;35,6
1630;Москва Автоколонна 1;"Водитель категории ""Е""";19,9;759;36,4
1631;Москва Автоколонна 1;"Водитель категории ""Е""";19,9;759;36,1
1632;Москва Автоколонна 1;"Водитель категории ""Е""";20;758;36
1633;Москва Автоколонна 1;"Водитель категории ""Е""";20;759;36
1634;Москва Автоколонна 1;"Водитель категории ""Е""";19,4;759;35,6
1635;Москва Автоколонна 1;"Водитель категории ""Е""";20;758;35,7
1636;Москва Автоколонна 1;"Водитель категории ""Е""";19,4;759;35,5
1637;Москва Автоколонна 1;"Водитель категории ""Е""";19,5;759;35,6
1638;Москва Автоколонна 1;"Водитель категории ""Е""";19,6;759;36,1
1639;Москва Автоколонна 1;"Водитель категории ""Е""";19,6;758;36,1
1640;Москва Автоколонна 1;"Водитель категории ""Е""";19,8;758;35,6
1641;Москва Автоколонна 1;"Водитель категории ""Е""";19,2;759;36,4
1642;Москва Автоколонна 1;"Водитель категории ""Е""";19,6;758;35,7
1643;Москва Автоколонна 1;"Водитель категории ""Е""";19,1;758;35,9
1644;Москва Автоколонна 1;"Водитель категории ""Е""";19,1;758;36
1645;Москва Автоколонна 1;"Водитель-экспедитор категории ""Е""";19,1;759;36,3
1726;Москва Автоколонна МКТ 1;Водитель-экспедитор;19,7;758;36,2
1529;Балашиха Автоколонна МКТ 1;Начальник автоколонны;19,8;758;36
1530;Балашиха Автоколонна МКТ 1;Водитель-экспедитор;19,4;758;35,7
1531;Балашиха Автоколонна МКТ 1;Водитель-экспедитор;19,8;758;35,7
1532;Балашиха Автоколонна МКТ 1;Водитель-экспедитор;19,6;758;36,1
1533;Балашиха Автоколонна МКТ 1;Водитель-экспедитор;19,2;758;35,9
1534;Балашиха Автоколонна МКТ 1;Водитель-экспедитор;19,8;759;36,1
1535;Воскресенск Автоколонна МКТ 1;Водитель-экспедитор;19;759;35,9
1536;Домодедово Автоколонна МКТ 1;Водитель-экспедитор;19,4;758;35,6
1537;Железнодорожный Автоколонна МКТ 1;Водитель-экспедитор;19,8;758;35,9
1538;Зеленоград Автоколонна МКТ 1;Водитель-экспедитор;20;759;36,3
1539;Клин Автоколонна МКТ 1;Водитель-экспедитор;20;758;36,1
1540;Клин Автоколонна МКТ 1;Водитель-экспедитор;19,8;758;36
1541;Коломна Автоколонна МКТ 1;Водитель-экспедитор;19,3;758;35,9
1542;Коломна Автоколонна МКТ 1;Водитель-экспедитор;19,2;759;36,1
1543;Коломна Автоколонна МКТ 1;Водитель-экспедитор;19,2;758;36,2
1544;Красногорск Автоколонна МКТ 1;Водитель-экспедитор;19,8;758;36,1
1545;Красногорск Автоколонна МКТ 1;Водитель-экспедитор;19,7;758;36
1546;Красногорск Автоколонна МКТ 1;Водитель-экспедитор;20;759;35,7
1547;Красногорск Автоколонна МКТ 1;Водитель-экспедитор;19,3;759;35,7
1548;Отдел эксплуатации легкового автотранспорта;Водитель;19,3;758;36,3
1549;Отдел эксплуатации легкового автотранспорта;Водитель;19,8;759;36,1
1550;Отдел экспедирования;Водитель;20;758;36,1
1551;Отдел экспедирования;Делопроизводитель;19,5;758;36
1552;Москва Автоколонна МКТ 4;Водитель-экспедитор;19;758;35,5
1553;Москва Автоколонна МКТ 4;Водитель-экспедитор;19,9;758;36,2
1554;Москва Автоколонна МКТ 4;Водитель-экспедитор;19,9;759;35,8
1555;Москва Автоколонна МКТ 4;Водитель-экспедитор;19,1;759;35,7
1556;Москва Автоколонна МКТ 4;Водитель-экспедитор;19,9;759;36,4
1557;Москва Автоколонна МКТ 4;Водитель-экспедитор;19,8;759;36,4
1558;Москва Автоколонна МКТ 4;Водитель-экспедитор;19,5;759;36
1559;Москва Автоколонна МКТ 4;Водитель-экспедитор;19,6;759;35,8
1560;Москва Автоколонна МКТ 4;Водитель-экспедитор;19,3;759;36,1
1561;Москва Автоколонна МКТ 4;Водитель-экспедитор;19,1;759;35,9
1562;Москва Автоколонна МКТ 4;Водитель-экспедитор;19,6;759;35,8
1563;Москва Автоколонна МКТ 4;Водитель-экспедитор;19,9;759;36,3
1564;Москва Автоколонна МКТ 4;Водитель-экспедитор;19,9;758;36,2
1565;Москва Автоколонна МКТ 4;Водитель-экспедитор;19,2;759;36
1566;Москва Автоколонна МКТ 4;Водитель-экспедитор;19;758;36
1567;Москва Автоколонна МКТ 4;Водитель-экспедитор;19,2;759;36,1
1568;Москва Автоколонна МКТ 4;Водитель-экспедитор;20;758;36,1
1569;Москва Автоколонна МКТ 4;Водитель-экспедитор;19,5;759;36,3
1570;Москва Автоколонна МКТ 4;Водитель-экспедитор;19,2;758;35,5
1571;Москва Автоколонна МКТ 4;Водитель-экспедитор;19,5;758;35,5
1572;Москва Автоколонна МКТ 4;Водитель-экспедитор;19,1;758;35,7
1573;Москва Автоколонна МКТ 4;Водитель-экспедитор;19,8;759;35,8
1574;Москва Автоколонна МКТ 4;Водитель-экспедитор;19,1;758;35,8
1575;Москва Автоколонна МКТ 4;Водитель-экспедитор;19,2;758;36,1
1576;Москва Автоколонна МКТ 4;Водитель-экспедитор;19,4;758;36,3
