working_area_id;department;working_area;noise_source;nature_of_noise;sound_lvl;max_sound_lvl;eq_sound_lvl
1586;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;73;82;0
1587;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;81;0
1588;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;75;80;0
1589;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;80;0
1590;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;83;0
1591;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;80;0
1592;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;81;0
1593;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;80;0
1594;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;75;83;0
1595;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;82;0
1596;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;75;83;0
1597;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;81;0
1598;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;75;81;0
1599;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;81;0
1600;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;100;80;0
1601;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;81;0
1602;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;82;0
1603;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;81;0
1604;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;73;83;0
1605;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;83;0
1606;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;81;0
1607;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;82;0
1608;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;81;0
1609;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;72;82;0
1610;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;83;0
1611;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;75;83;0
1612;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;82;0
1613;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;82;0
1614;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;71;82;0
1615;Москва Автоколонна МКТ 5;Водитель-экспедитор;Производственное оборудование;Непостоянный широкополосный;74;80;0
1616;Группа технической поддержки транспорта;Менеджер по транспорту;Производственное оборудование;Непостоянный широкополосный;72;80;0
1617;Группа технической поддержки транспорта;Водитель;Производственное оборудование;Непостоянный широкополосный;71;81;0
1618;Москва Автоколонна 1;"Бригадир водителей категории ""Е""";Производственное оборудование;Непостоянный широкополосный;74;81;0
1619;Москва Автоколонна 1;"Бригадир водителей-экспедиторов категории ""Е""";Производственное оборудование;Непостоянный широкополосный;71;81;0
1620;Москва Автоколонна 1;"Водитель категории ""Е""";Производственное оборудование;Непостоянный широкополосный;71;82;0
1621;Москва Автоколонна 1;"Водитель категории ""Е""";Производственное оборудование;Непостоянный широкополосный;72;80;0
1622;Москва Автоколонна 1;"Водитель категории ""Е""";Производственное оборудование;Непостоянный широкополосный;73;80;0
1623;Москва Автоколонна 1;"Водитель категории ""Е""";Производственное оборудование;Непостоянный широкополосный;71;81;0
1624;Москва Автоколонна 1;"Водитель категории ""Е""";Производственное оборудование;Непостоянный широкополосный;71;81;0
1625;Москва Автоколонна 1;"Водитель категории ""Е""";Производственное оборудование;Непостоянный широкополосный;73;80;0
1626;Москва Автоколонна 1;"Водитель категории ""Е""";Производственное оборудование;Непостоянный широкополосный;71;80;0
1627;Москва Автоколонна 1;"Водитель категории ""Е""";Производственное оборудование;Непостоянный широкополосный;74;81;0
1628;Москва Автоколонна 1;"Водитель категории ""Е""";Производственное оборудование;Непостоянный широкополосный;71;82;0
1629;Москва Автоколонна 1;"Водитель категории ""Е""";Производственное оборудование;Непостоянный широкополосный;75;83;0
1630;Москва Автоколонна 1;"Водитель категории ""Е""";Производственное оборудование;Непостоянный широкополосный;74;81;0
1631;Москва Автоколонна 1;"Водитель категории ""Е""";Производственное оборудование;Непостоянный широкополосный;73;82;0
1632;Москва Автоколонна 1;"Водитель категории ""Е""";Производственное оборудование;Непостоянный широкополосный;74;180;0
1633;Москва Автоколонна 1;"Водитель категории ""Е""";Производственное оборудование;Непостоянный широкополосный;72;83;0
1634;Москва Автоколонна 1;"Водитель категории ""Е""";Производственное оборудование;Непостоянный широкополосный;73;83;0
1635;Москва Автоколонна 1;"Водитель категории ""Е""";Производственное оборудование;Непостоянный широкополосный;73;80;0
1636;Москва Автоколонна 1;"Водитель категории ""Е""";Производственное оборудование;Непостоянный широкополосный;74;82;0
