id;att_org_id;name;reg_num;factory_num;fac_ids;si_err
7;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;86613;1;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
22;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;93513;1;"Измерение температуры: ±0,20С; измерение относительной влажности: ±3,0%;измерение скорости движения воздуха: ±0,05-0,05V м/с (в диапазоне от 0,1 до 1 м/с), ±0,1+0,05V м/с (в диапазоне от 1 до 20 м/с); измерение ТНС-индекса: ±0,20С"
82;0;Насос-пробоотборник ручной НП-3М;18166-99;632.4;1;±5%
83;0;Насос-пробоотборник ручной НП-3М;18166-99;498.4;1;±5%
84;0;Насос-пробоотборник ручной НП-3М;18166-99;353.4;1;±5%
85;0;Насос-пробоотборник ручной НП-3М;18166-99;133.3;1;±5%
86;0;Газоанализатор  «Колион-1В-02»;16298-09;548;1;±15%
87;0;Газоанализатор  «Колион-1В-02»;16298-09;562;1;±15%
88;0;Газоанализатор «Колион-1В-02»;16298-09;563;1;15%
89;0;Газоанализатор универсальный ГАНК-4;24421-09;2678;1;±20%
109;0;Спектрофотометр ПЭ-5300ВИ;44866-10;53ВИ771;1;±0,5 %Т
110;0;Анализатор-течеискатель АНТ-3М;39982-14;3421;1;±(8-5)%
114;0;Газоанализатор универсальный ГАНК-4;24421-09;3190;1;±20%
118;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;346418;1;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
133;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;349218;1;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
159;0;Трубки индикаторные ТИ-[ИК-К] мод. ТИ-[СН3СООН-0,3] для определения в воздушной среде Уксусной кислоты;24321-13;26-05;1;±25 %
169;0;Измеритель микроклимата «ЭкоТерма-1»;49002-12;130250;1;"Температура: ±0,2?С - ±0,3?С; Влажность ±2,0% - ±3,0%"
184;0;Термоанемометр ТТМ-2-04;44377-10;2852;1;не более ± (0,05 + 0,05V) м/c, где V – измеренная скорость потока, м/c
206;0;Трубка индикаторная модели ТИ- [ИК-К] модификации ТИ- [EtOH-5,0] для определения в воздушной среде этанола;24321-13;30-10;1;± 25%
8;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;86613;3;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
23;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;93513;3;"Измерение температуры: ±0,20С; измерение относительной влажности: ±3,0%;измерение скорости движения воздуха: ±0,05-0,05V м/с (в диапазоне от 0,1 до 1 м/с), ±0,1+0,05V м/с (в диапазоне от 1 до 20 м/с); измерение ТНС-индекса: ±0,20С"
90;0;Газоанализатор универсальный ГАНК-4;24421-09;2678;3;±20%
115;0;Газоанализатор универсальный ГАНК-4;24421-09;3190;3;±20%
119;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;346418;3;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
134;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;349218;3;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
170;0;Измеритель микроклимата «ЭкоТерма-1»;49002-12;130250;3;"Температура: ±0,2?С - ±0,3?С; Влажность ±2,0% - ±3,0%"
185;0;Термоанемометр ТТМ-2-04;44377-10;2852;3;не более ± (0,05 + 0,05V) м/c, где V – измеренная скорость потока, м/c
9;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;86613;4;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
